product,scenario,region,year,value
All,Midpoint,Global,2020,0.19
All,Midpoint,Global,2021,0.1
All,Midpoint,Global,2022,0.293
All,Midpoint,Global,2023,0.94
All,Midpoint,Global,2024,3.324
All,Midpoint,Global,2025,6.761
All,Midpoint,Global,2026,6.46
All,Midpoint,Global,2027,47.81278824
All,Midpoint,Global,2028,69.99517581
All,Midpoint,Global,2029,102.4537023
All,Midpoint,Global,2030,128.6337794
All,Midpoint,Global,2031,173.4389121
All,Midpoint,Global,2032,222.3347498
All,Midpoint,Global,2033,272.7682265
All,Midpoint,Global,2034,322.3602702
All,Midpoint,Global,2035,369.2269077
All,Midpoint,Global,2036,412.1076614
All,Midpoint,Global,2037,450.3376521
All,Midpoint,Global,2038,483.7301104
All,Midpoint,Global,2039,512.431968
All,Midpoint,Global,2040,536.7929333
All,Midpoint,Global,2041,557.2649901
All,Midpoint,Global,2042,574.3336083
All,Midpoint,Global,2043,588.4748909
All,Midpoint,Global,2044,600.13139
All,Midpoint,Global,2045,609.7003422
All,Midpoint,Global,2046,617.5297085
All,Midpoint,Global,2047,623.9188716
All,Midpoint,Global,2048,629.1219257
All,Midpoint,Global,2049,633.3522427
All,Midpoint,Global,2050,636.7874929
