product,driver,region,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,Fertiliser,Global,Mt Ammonia,36.79,37.5,38.26,39.01,39.73,40.45,40.65,40.83,40.98,41.1,41.19,41.64,42.07,42.48,42.88,43.26,43.54,43.81,44.06,44.29,44.51,44.63,44.73,44.81,44.88,44.93,45.15,45.35,45.54,45.71,45.87
Ammonia,Fertiliser,North America,Mt Ammonia,3.62,3.69,3.74,3.79,3.83,3.88,3.87,3.86,3.86,3.85,3.83,3.85,3.87,3.89,3.91,3.92,3.93,3.94,3.94,3.95,3.95,3.94,3.93,3.93,3.92,3.9,3.91,3.91,3.91,3.91,3.91
Ammonia,Fertiliser,Latin America,Mt Ammonia,2.07,2.11,2.21,2.31,2.41,2.51,2.58,2.64,2.7,2.76,2.81,2.89,2.97,3.04,3.11,3.18,3.24,3.3,3.36,3.42,3.47,3.52,3.57,3.61,3.65,3.69,3.74,3.79,3.84,3.88,3.93
Ammonia,Fertiliser,Africa,Mt Ammonia,1.92,1.96,2.05,2.14,2.23,2.32,2.37,2.43,2.48,2.53,2.58,2.64,2.71,2.77,2.84,2.9,2.95,3.01,3.06,3.11,3.16,3.2,3.23,3.27,3.31,3.34,3.38,3.43,3.47,3.51,3.55
Ammonia,Fertiliser,Middle East,Mt Ammonia,4.07,4.15,4.33,4.51,4.69,4.86,4.98,5.08,5.18,5.28,5.37,5.5,5.63,5.76,5.88,6,6.11,6.22,6.32,6.41,6.5,6.58,6.66,6.73,6.79,6.86,6.95,7.03,7.11,7.19,7.27
Ammonia,Fertiliser,Russia,Mt Ammonia,2.74,2.79,2.8,2.8,2.81,2.81,2.8,2.79,2.79,2.79,2.79,2.81,2.83,2.85,2.87,2.88,2.89,2.9,2.91,2.92,2.92,2.92,2.92,2.92,2.92,2.91,2.92,2.92,2.93,2.93,2.94
Ammonia,Fertiliser,Europe,Mt Ammonia,3.38,3.44,3.47,3.51,3.54,3.56,3.55,3.53,3.51,3.49,3.47,3.48,3.49,3.5,3.5,3.51,3.51,3.5,3.5,3.49,3.49,3.47,3.46,3.44,3.43,3.41,3.4,3.4,3.39,3.39,3.38
Ammonia,Fertiliser,China,Mt Ammonia,8.42,8.43,8.73,9.03,9.32,9.62,9.8,9.98,10.15,10.31,10.47,10.34,10.2,10.07,9.94,9.8,9.66,9.51,9.36,9.21,9.07,8.91,8.75,8.59,8.44,8.28,8.16,8.04,7.92,7.81,7.69
Ammonia,Fertiliser,India,Mt Ammonia,3.57,3.64,3.7,3.76,3.82,3.87,3.88,3.87,3.86,3.85,3.84,4.03,4.21,4.39,4.57,4.75,4.93,5.1,5.27,5.44,5.6,5.76,5.92,6.07,6.22,6.38,6.55,6.73,6.91,7.08,7.26
Ammonia,Fertiliser,Rest of Asia,Mt Ammonia,6.55,6.81,6.76,6.69,6.62,6.55,6.38,6.19,6.01,5.82,5.62,5.68,5.73,5.77,5.81,5.83,5.85,5.85,5.85,5.84,5.82,5.79,5.75,5.71,5.66,5.6,5.56,5.52,5.47,5.41,5.34
