,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,243.53398100840667,245.19800785467513,245.19800785467513,234.19540203283134,225.69613706271033,219.56899893885776,191.58246434141205,177.2038880937069,170.36864996985432,163.12105542559468,159.36604414801056,148.49465233162107,142.61534105403695,137.44412977645283,133.6891184988687,131.18577764714595,128.6824367954232,126.17909594370045,123.6757550919777,121.17241424025495,118.66907338853221,116.16573253680946,113.6623916850867,111.15905083336396,108.65570998164121,107.40403955577983,107.40403955577983,107.40403955577983,107.40403955577983,107.40403955577983,107.40403955577983
1,Coal Gasification + ammonia synthesis,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,80.50464581005689,75.76039211751998,71.01613842498307,66.27188473244617,63.191657886177715,61.06735788617772,58.94305788617772,56.818757886177714,54.694457886177716,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,7.576653692536906,10.656880538805359,20.86808908851931,28.823783632778962,38.87046260835429,27.141042382466317,26.43294238246632,26.43294238246632,23.929601530743568,22.677931104882195,22.677931104882195,23.929601530743568,22.677931104882195,20.174590253159447,18.922919827298074,17.671249401436697,15.16790854971395,13.916238123852576,13.916238123852576,13.916238123852576,15.16790854971395,15.16790854971395,13.916238123852576,13.916238123852576,15.16790854971395,15.16790854971395,13.916238123852576,15.16790854971395,16.419578975575323,17.671249401436697
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,3.6237972721298273,7.9556945442596545,11.579491816389481,5.006681703445497,6.258352129306871,5.006681703445497,3.7550112775841225,2.5033408517227485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359,4.992080538805359
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,11.860634231342265,15.648961077610718,20.14538792387917,25.597741616416076,28.67796846268453,34.34276846268453,44.50399530895298,53.00119530895298,64.33079530895299,76.36849530895299,90.53049530895298,105.64842215522143,125.47522215522143,146.01012215522144,170.3333490014899,195.82494900148987,212.11124900148988,239.72714900148986,247.51624900148988,248.22434900148988,248.22434900148988,248.22434900148988,257.42964900148985,260.97014900148986,270.1754490014899
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,11.612807385073811,17.77326107761072,22.517514770147624,28.67796846268453,33.63466846268453,40.963495308952986,51.58499530895298,58.66599530895298,65.74699530895298,82.03329530895299,94.77909530895298,110.35729530895298,128.05979530895297,142.22179530895298,159.92429530895296,182.58349530895296,209.49129530895297,230.27402215522142,230.27402215522142,230.98212215522142,233.81452215522143,235.23072215522143,242.55954900148987,253.88914900148987,262.38634900148986
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Natural Gas ATR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Oversized ATR + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Natural Gas SMR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ESMR Gas + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485
9,GHR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,34.27613732531587,53.28235442474377,74.24627697991201,97.87806996094163,122.30126021410108,132.80821234340794,149.85259404685345,167.27601660202168,187.3673095830513,194.33376171235818,200.75664341580367,208.97476597097193,216.6493181002788,221.11242937786292,227.5353110813084,231.45485193303116,237.87773363647665,244.30061533992216,248.05562661750628,249.30729704336764,250.55896746922903,253.0623083209518,253.7704083209518,253.7704083209518,253.7704083209518
14,Methane Pyrolysis + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Biomass Digestion + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Biomass Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Waste to ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.036926846268452,19.366526846268453,30.696126846268452,42.73382684626845,54.77152684626845,66.10112684626844,78.13882684626844,85.92792684626845,91.59272684626845,97.25752684626845,100.08992684626844,106.46282684626844,109.29522684626845,109.29522684626845,109.29522684626845,109.29522684626845,109.29522684626845,109.29522684626845,110.00332684626845,110.71142684626845
