product,scenario,region,year,value
Ammonia,NZ,Global,2020,62.76627512
Ammonia,NZ,North America,2020,6.180138522
Ammonia,NZ,Latin America,2020,3.529098848
Ammonia,NZ,Africa,2020,3.276861053
Ammonia,NZ,Middle East,2020,6.946810399
Ammonia,NZ,Russia,2020,4.673955684
Ammonia,NZ,Europe,2020,5.759207806
Ammonia,NZ,China,2020,14.36001501
Ammonia,NZ,India,2020,6.093615316
Ammonia,NZ,Rest of Asia,2020,11.17214137
Ammonia,NZ,Oceania,2020,0.774431113
Ammonium nitrate,NZ,Global,2020,49.26857777
Ammonium nitrate,NZ,North America,2020,4.851118452
Ammonium nitrate,NZ,Latin America,2020,2.77017683
Ammonium nitrate,NZ,Africa,2020,2.572182009
Ammonium nitrate,NZ,Middle East,2020,5.452919864
Ammonium nitrate,NZ,Russia,2020,3.668835672
Ammonium nitrate,NZ,Europe,2020,4.520707611
Ammonium nitrate,NZ,China,2020,11.27193727
Ammonium nitrate,NZ,India,2020,4.783201799
Ammonium nitrate,NZ,Rest of Asia,2020,8.769606209
Ammonium nitrate,NZ,Oceania,2020,0.607892048
Urea,NZ,Global,2020,179.2947629
Urea,NZ,North America,2020,17.65385103
Urea,NZ,Latin America,2020,10.0810338
Urea,NZ,Africa,2020,9.360504895
Urea,NZ,Middle East,2020,19.84388465
Urea,NZ,Russia,2020,13.35137022
Urea,NZ,Europe,2020,16.45144301
Urea,NZ,China,2020,41.02004589
Urea,NZ,India,2020,17.4066935
Urea,NZ,Rest of Asia,2020,31.91373766
Urea,NZ,Oceania,2020,2.212198231
Ammonia,NZ,Global,2021,64.51101085
Ammonia,NZ,North America,2021,6.287942022
Ammonia,NZ,Latin America,2021,3.590654714
Ammonia,NZ,Africa,2021,3.334012471
Ammonia,NZ,Middle East,2021,7.067945329
Ammonia,NZ,Russia,2021,4.755469543
Ammonia,NZ,Europe,2021,5.859656168
Ammonia,NZ,China,2021,14.36001501
Ammonia,NZ,India,2021,6.199901996
Ammonia,NZ,Rest of Asia,2021,12.2512379
Ammonia,NZ,Oceania,2021,0.804175698
Ammonium nitrate,NZ,Global,2021,50.1278939
Ammonium nitrate,NZ,North America,2021,4.935739136
Ammonium nitrate,NZ,Latin America,2021,2.818495294
Ammonium nitrate,NZ,Africa,2021,2.617043187
Ammonium nitrate,NZ,Middle East,2021,5.548005095
Ammonium nitrate,NZ,Russia,2021,3.732820222
Ammonium nitrate,NZ,Europe,2021,4.599554858
Ammonium nitrate,NZ,China,2021,11.27193727
Ammonium nitrate,NZ,India,2021,4.866631851
Ammonium nitrate,NZ,Rest of Asia,2021,9.106426829
Ammonium nitrate,NZ,Oceania,2021,0.63124015
Urea,NZ,Global,2021,182.421926
Urea,NZ,North America,2021,17.96179671
Urea,NZ,Latin America,2021,10.25687098
Urea,NZ,Africa,2021,9.523760558
