product,technology_origin,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Ammonia,Biomass Digestion + ammonia synthesis,2020,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2020,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2021,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2022,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2023,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2024,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2025,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Russia,0,0,0,0,0
